Mileage(Kilometer),Model(Year),Engine(True=Healthy),Chassis(True=Healthy),Description(False=Expensive),Price(Toman)
['۹۵٬۰۰۰'],['۱۳۹۶'],True,True,True,['۱۱۱٬۱۱۱٬۱۱۱']
['۴۵۵٬۰۰۰'],['۱۳۸۴'],True,True,False,['۱۸۰٬۰۰۰٬۰۰۰']
['۲۸۰٬۰۰۰'],['۱۳۸۶'],False,False,True,['۲۰۵٬۰۰۰٬۰۰۰']
['۲۲۰٬۰۰۰'],['۱۳۸۹'],True,True,True,['۲۵۵٬۰۰۰٬۰۰۰']
['۲۹٬۵۰۰'],['۱۳۹۹'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['۳۶٬۰۰۰'],['۱۴۰۰'],True,True,False,['۴۴۵٬۰۰۰٬۰۰۰']
['۷٬۰۰۰'],['۱۴۰۰'],True,True,False,['۴۶۰٬۰۰۰٬۰۰۰']
['۴۰٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۰۴٬۰۰۰٬۰۰۰']
['۲۲۰٬۰۰۰'],['۱۳۹۴'],False,False,True,['۲۵۵٬۰۰۰٬۰۰۰']
['۱۷۰٬۰۰۰'],['۱۳۹۰'],True,True,True,['۲۸۰٬۰۰۰٬۰۰۰']
['۷۴٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۶۵٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۱'],True,True,True,['۱۶۵٬۰۰۰٬۰۰۰']
['۴۲۰٬۰۰۰'],['۱۳۸۵'],True,True,True,['۲۱۵٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۷۰٬۰۰۰٬۰۰۰']
['۱۳۷٬۰۰۰'],['۱۳۹۴'],True,True,True,['۳٬۱۵۰٬۰۰۰٬۰۰۰']
['۲۶٬۸۰۰'],['۱۳۹۹'],True,True,True,['۴۲۰٬۰۰۰٬۰۰۰']
['۲۹۰٬۰۰۰'],['۱۳۸۴'],False,True,True,['۱۶۹٬۰۰۰٬۰۰۰']
['۲۱۲٬۰۰۰'],['۱۳۸۲'],True,True,False,['۲۱۵٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],True,True,True,['۱۱٬۱۱۱٬۱۱۱ تومانفروش اقساطیحداقل مبلغ پیش\u200cپرداخت۱۱۱٬۱۱۱']
['۱۸۵٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۶۹٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۳'],False,False,True,['۱۹۰٬۰۰۰٬۰۰۰']
['۸٬۰۰۰'],['۱۴۰۱'],True,True,False,['۴۹۰٬۰۰۰٬۰۰۰']
['۴۰۰٬۰۰۰'],['۱۳۸۲'],False,False,True,['۱۹۵٬۰۰۰٬۰۰۰']
['۳۰۰٬۰۰۰'],['۱۳۹۰'],True,True,True,['۲۷۰٬۰۰۰٬۰۰۰']
['۸٬۰۰۰'],['۱۴۰۱'],True,True,True,['۴۸۰٬۰۰۰٬۰۰۰']
['۲۳۰٬۰۰۰'],['۱۳۸۵'],True,True,False,['۲۲۹٬۰۰۰٬۰۰۰']
['۳۴۰٬۰۰۰'],['۱۳۸۶'],True,True,True,['۲۱۵٬۰۰۰٬۰۰۰']
['۱۰٬۰۰۰'],['۱۴۰۱'],True,True,True,['۴۷۵٬۰۰۰٬۰۰۰']
['۱۶۰٬۰۰۰'],['۱۳۹۰'],True,True,True,['۲۸۰٬۰۰۰٬۰۰۰']
['۲۳۲٬۰۰۰'],['۱۳۸۸'],True,True,True,['۲۱۵٬۰۰۰٬۰۰۰']
['۲۸۰٬۰۰۰'],['۱۳۸۸'],False,True,False,['۲۶۵٬۰۰۰٬۰۰۰']
['۱۶۵٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۱۰٬۰۰۰٬۰۰۰']
['۷٬۰۰۰'],['۱۳۹۹'],True,True,False,['۴۴۲٬۰۰۰٬۰۰۰']
['۳۴۰٬۰۰۰'],['۱۳۸۳'],False,True,False,['۲۱۵٬۰۰۰٬۰۰۰']
[' فنی بدون ایراد۲ روز پیش در تهران، ارمزنگ خطرهای قبل از معاملهاطلاعات تماس چت کارکرد۱۷۶٬۰۰۰'],['۱۳۸۶'],True,True,True,['۲۳۵٬۰۰۰٬۰۰۰']
['۱۳۰٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۵۰٬۰۰۰٬۰۰۰']
['۹٬۸۰۰'],['۱۴۰۰'],True,True,False,['۴۸۰٬۰۰۰٬۰۰۰']
['۱۸۳٬۰۰۰'],['۱۳۹۱'],True,True,True,['۲۹۰٬۰۰۰٬۰۰۰']
['۱۹۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۲۱۵٬۰۰۰٬۰۰۰']
['۹۵٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۳۰٬۰۰۰٬۰۰۰']
['۳۸٬۰۰۰'],['۱۳۹۹'],True,True,False,['۴۳۵٬۰۰۰٬۰۰۰']
['۹۰٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۰۵٬۰۰۰٬۰۰۰']
['۶۲٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۲۰٬۰۰۰٬۰۰۰']
['۲۸۰٬۰۰۰'],['۱۳۹۱'],True,True,False,['۲۹۵٬۰۰۰٬۰۰۰']
